,rates
AED,3.631894
AFN,87.932748
ALL,117.420044
AMD,402.715543
ANG,1.796544
AOA,423.751193
ARS,138.109252
AUD,1.456866
AWG,1.779808
AZN,1.682134
BAM,1.950046
BBD,2.012732
BDT,94.707696
BGN,1.931992
BHD,0.374106
BIF,2056.472882
BMD,0.988782
BND,1.397398
BOB,6.88797
BRL,5.114477
BSD,0.996894
BTC,4.9906533e-05
BTN,79.47039
BWP,12.913053
BYN,2.516139
BYR,19380.132398
BZD,2.009342
CAD,1.300594
CDF,2003.272401
CHF,0.972172
CLF,0.031488
CLP,868.862621
CNY,6.857219
COP,4436.171633
CRC,648.13385
CUC,0.988782
CUP,26.20273
CVE,109.93892
CZK,24.534455
DJF,177.462618
DKK,7.436432
DOP,52.848389
DZD,139.663819
EGP,19.14055
ERN,14.831734
ETB,52.617963
EUR,1.0
FJD,2.206715
FKP,0.814366
GBP,0.863331
GEL,2.827776
GGP,0.814366
GHS,9.918382
GIP,0.814366
GMD,54.483776
GNF,8610.67028
GTQ,7.715416
GYD,208.551435
HKD,7.76116
HNL,24.533227
HRK,7.472523
HTG,117.130145
HUF,402.416597
IDR,14755.696622
ILS,3.364253
IMP,0.814366
INR,78.957925
IQD,1454.928814
IRR,41825.48983
ISK,142.335431
JEP,0.814366
JMD,150.271373
JOD,0.70107
JPY,138.788402
KES,118.80188
KGS,79.989486
KHR,4095.078217
KMF,488.705718
KPW,889.904385
KRW,1357.380234
KWD,0.30496
KYD,0.830661
KZT,469.461817
LAK,15545.363998
LBP,1507.290342
LKR,358.86569
LRD,152.272278
LSL,17.164136
LTL,2.919617
LVL,0.598105
LYD,4.915768
MAD,10.548812
MDL,19.298945
MGA,4193.092885
MKD,61.43279
MMK,2093.424448
MNT,3159.121331
MOP,8.058942
MRO,352.995099
MUR,43.852446
MVR,15.229789
MWK,1023.883574
MXN,19.750946
MYR,4.437636
MZN,63.113729
NAD,17.113158
NGN,418.670289
NIO,35.827186
NOK,9.948158
NPR,127.157993
NZD,1.623739
OMR,0.382106
PAB,0.996744
PEN,3.846292
PGK,3.51263
PHP,56.355153
PKR,218.069443
PLN,4.734584
PYG,6890.112295
QAR,3.600175
RON,4.827533
RSD,117.00252
RUB,59.796647
RWF,1030.066486
SAR,3.71772
SBD,8.114915
SCR,13.402912
SDG,570.527375
SEK,10.754386
SGD,1.389669
SHP,1.36195
SLL,14035.764046
SOS,562.119659
SRD,25.080455
STD,20465.796546
SVC,8.721397
SYP,2484.345471
SZL,17.266111
THB,36.366458
TJS,10.082794
TMT,3.470626
TND,3.177963
TOP,2.3402
TRY,17.999197
TTD,6.751811
TWD,30.407527
TZS,2305.84051
UAH,36.8135
UGX,3802.820808
USD,0.988782
UYU,40.844854
UZS,10923.682665
VND,23295.710168
VUV,114.754193
WST,2.637538
XAF,654.043561
XAG,0.054768
XAU,0.000577
XCD,2.672233
XDR,0.76576
XOF,654.050156
XPF,118.876308
YER,247.442542
ZAR,17.171686
ZMK,8900.228821
ZMW,15.306874
ZWL,318.387486
